bulan,tahun,jenis_kejahatan,polda,provinsi,lintang,bujur
1,2022,Curanmor R-2,POLDA PAPUA BARAT DAYA,PAPUA BARAT DAYA,-0.875,131.25
1,2022,Curanmor R-2,POLDA GORONTALO,GORONTALO,0.5375,123.0586
1,2022,Curanmor R-2,POLDA MALUKU UTARA,MALUKU UTARA,0.7917,127.3875
1,2022,Curanmor R-2,POLDA PAPUA BARAT,PAPUA BARAT,-0.8667,134.0833
1,2022,Curanmor R-2,POLDA KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG,-2.1291,106.1316
1,2022,Curanmor R-2,POLDA SULAWESI BARAT,SULAWESI BARAT,-2.6833,118.8667
1,2022,Curanmor R-2,POLDA KALIMANTAN UTARA,KALIMANTAN UTARA,2.8386,117.3748
1,2022,Pengroyokan,POLDA METRO JAYA,DKI JAKARTA,-6.2214,106.8098
1,2022,Pengroyokan,POLDA SUMATERA UTARA,SUMATERA UTARA,3.5952,98.6722
1,2022,Pengroyokan,POLDA JAWA TIMUR,JAWA TIMUR,-7.322222,112.730757
1,2022,Pengroyokan,POLDA SULAWESI SELATAN,SULAWESI SELATAN,-5.1477,119.4327
1,2022,Pengroyokan,POLDA JAWA BARAT,JAWA BARAT,-6.9386,107.7033
1,2022,Pengroyokan,POLDA SUMATERA SELATAN,SUMATERA SELATAN,-2.9909,104.7566
1,2022,Pengroyokan,POLDA LAMPUNG,LAMPUNG,-5.4444,105.2622
1,2022,Pengroyokan,POLDA RIAU,RIAU,0.5071,101.4478
1,2022,Pengroyokan,POLDA JAWA TENGAH,JAWA TENGAH,-7.0051,110.4381
1,2022,Pengroyokan,POLDA NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,-10.1772,123.607
1,2022,Pengroyokan,POLDA SULAWESI TENGAH,SULAWESI TENGGARA,-0.8917,119.8707
1,2022,Pengroyokan,POLDA SULAWESI UTARA,SULAWESI UTARA,1.4644,124.8333
1,2022,Pengroyokan,POLDA SUMATERA BARAT,SUMATERA BARAT,-0.9358,100.3603
1,2022,Pengroyokan,POLDA ACEH,ACEH,5.557,95.3169
1,2022,Pengroyokan,POLDA PAPUA,PAPUA,-2.5367,140.7065
1,2022,Pengroyokan,POLDA KALIMANTAN TIMUR,KALIMANTAN TIMUR,-0.5021,117.1537
1,2022,Pengroyokan,POLDA JAMBI,JAMBI,-1.6224,103.6309
